DEPARTAMENTO,PROVINCIA,UBIGEO,SEXO,TIPO_CONTRATO,MATERIAL_PISOS,MATERIAL_TECHOS,MATERIAL_PAREDES,NINOS_ASISTEN_COLEGIO,SITUACION_EDUCATIVA_ESPERADA,SIN_SEGURO,ESTRSOCIAL,POBREZA,ANIO,MES,GASTO_ALIMENTOS_HOGAR,GASTO_ELECTRODOMESTICOS,INGRESO_JUNTOS,INGRESO_PENSION65,HORAS_SEMANA_OCUP_PRINCIPAL,INGRESO_TOTAL,NUM_HABITACIONES,EDAD,SERVICIOS_BASICOS,RECIBIO
AMAZONAS,CHACHAPOYAS,10101,0,Indefinido,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,E,No Pobre,2014,3,0.0,92.3230859832264,0.0,0.0,0.0,1200.0,4,49,Sí,No
AMAZONAS,BAGUA,10201,1,Locación / SNP,Piso de cemento,Materiales semi-formales o industriales ligeros,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,D,No Pobre,2014,11,0.0,8.53124209841665,0.0,0.0,40.0,2500.0,3,46,No,No
AMAZONAS,BAGUA,10201,1,Indefinido,Piso de cemento,Materiales semi-formales o industriales ligeros,Materiales tradicionales de tierra,Asisten,Adulto (25+) sin matrícula — no aplica,No,D,No Pobre,2014,11,0.0,98.9139619663015,0.0,0.0,40.0,3000.0,2,54,No,No
AMAZONAS,BAGUA,10201,0,CAS,Piso de cemento,Materiales semi-formales o industriales ligeros,Materiales formales o resistente,Asisten,Inscrito actualmente,No,D,No Pobre,2014,12,0.0,3.84482873922685,0.0,0.0,40.0,1300.0,2,27,No,No
AMAZONAS,BAGUA,10201,1,Sin contrato,Piso de cemento,Materiales semi-formales o industriales ligeros,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,D,No Pobre,2014,12,0.0,131.371116835518,0.0,0.0,40.0,1200.0,2,32,No,No
AMAZONAS,BAGUA,10201,1,Indefinido,Piso de cemento,Materiales semi-formales o industriales ligeros,Materiales tradicionales de tierra,Asisten,Adulto (25+) sin matrícula — no aplica,No,E,No Pobre,2014,1,0.0,142.506499277698,0.0,0.0,7.0,1230.0,2,54,Sí,No
AMAZONAS,BAGUA,10201,1,Indefinido,Piso de cemento,Materiales semi-formales o industriales ligeros,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,E,No Pobre,2014,1,0.0,83.6654426758581,0.0,0.0,0.0,1368.0,4,53,Sí,No
AMAZONAS,BAGUA,10201,1,Indefinido,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,E,No Pobre,2014,1,0.0,201.459266882579,0.0,0.0,16.0,3500.0,6,59,Sí,No
AMAZONAS,BAGUA,10201,1,Indefinido,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Inscrito actualmente,No,E,No Pobre,2014,1,0.0,196.067986266438,0.0,0.0,0.0,1300.0,4,43,Sí,No
AMAZONAS,BAGUA,10201,1,Sin contrato,Piso de cemento,Materiales semi-formales o industriales ligeros,Materiales tradicionales de tierra,Asisten,Adulto (25+) sin matrícula — no aplica,No,E,No Pobre,2014,5,0.0,214.779642950074,0.0,0.0,48.0,480.0,5,57,Sí,No
